timestamp,service,cost
2026-03-01 00:00:00,payment_service,22.50
2026-03-01 00:00:00,auth_service,14.00
2026-03-01 00:00:00,db_cluster,32.00
2026-03-01 00:00:00,frontend_app,9.50
2026-03-01 04:00:00,payment_service,21.00
2026-03-01 04:00:00,auth_service,13.50
2026-03-01 04:00:00,db_cluster,31.50
2026-03-01 04:00:00,frontend_app,8.80
2026-03-01 08:00:00,payment_service,24.00
2026-03-01 08:00:00,auth_service,15.20
2026-03-01 08:00:00,db_cluster,33.00
2026-03-01 08:00:00,frontend_app,10.20
2026-03-01 12:00:00,payment_service,23.50
2026-03-01 12:00:00,auth_service,14.80
2026-03-01 12:00:00,db_cluster,34.00
2026-03-01 12:00:00,frontend_app,9.90
2026-03-01 15:00:00,payment_service,115.00
2026-03-01 15:00:00,auth_service,15.00
2026-03-01 15:00:00,db_cluster,33.50
2026-03-01 15:00:00,frontend_app,10.10
2026-03-01 18:00:00,payment_service,112.00
2026-03-01 18:00:00,auth_service,14.50
2026-03-01 18:00:00,db_cluster,32.80
2026-03-01 18:00:00,frontend_app,9.70
2026-03-02 00:00:00,payment_service,45.00
2026-03-02 00:00:00,auth_service,14.00
2026-03-02 00:00:00,db_cluster,33.00
2026-03-02 00:00:00,frontend_app,9.20
2026-03-02 04:00:00,payment_service,24.00
2026-03-02 04:00:00,auth_service,13.80
2026-03-02 04:00:00,db_cluster,32.50
2026-03-02 04:00:00,frontend_app,9.00
2026-03-02 09:00:00,payment_service,23.00
2026-03-02 09:00:00,auth_service,68.00
2026-03-02 09:00:00,db_cluster,34.00
2026-03-02 09:00:00,frontend_app,10.50
2026-03-02 13:00:00,payment_service,22.00
2026-03-02 13:00:00,auth_service,65.00
2026-03-02 13:00:00,db_cluster,33.00
2026-03-02 13:00:00,frontend_app,10.00
2026-03-02 18:00:00,payment_service,23.50
2026-03-02 18:00:00,auth_service,16.00
2026-03-02 18:00:00,db_cluster,98.50
2026-03-02 18:00:00,frontend_app,9.80
2026-03-03 00:00:00,payment_service,22.00
2026-03-03 00:00:00,auth_service,14.20
2026-03-03 00:00:00,db_cluster,35.00
2026-03-03 00:00:00,frontend_app,9.40
