timestamp,service,cpu_utilization,requests_per_second
2026-03-01 00:00:00,payment_service,42.5,950
2026-03-01 00:00:00,auth_service,35.0,750
2026-03-01 00:00:00,db_cluster,40.1,500
2026-03-01 00:00:00,frontend_app,25.0,1200
2026-03-01 04:00:00,payment_service,38.0,880
2026-03-01 04:00:00,auth_service,32.0,710
2026-03-01 04:00:00,db_cluster,38.5,480
2026-03-01 04:00:00,frontend_app,22.0,1100
2026-03-01 08:00:00,payment_service,45.0,1020
2026-03-01 08:00:00,auth_service,38.2,850
2026-03-01 08:00:00,db_cluster,42.0,520
2026-03-01 08:00:00,frontend_app,28.0,1350
2026-03-01 12:00:00,payment_service,46.5,1080
2026-03-01 12:00:00,auth_service,39.0,890
2026-03-01 12:00:00,db_cluster,43.5,540
2026-03-01 12:00:00,frontend_app,30.0,1400
2026-03-01 15:00:00,payment_service,48.0,1120
2026-03-01 15:00:00,auth_service,38.5,880
2026-03-01 15:00:00,db_cluster,44.0,530
2026-03-01 15:00:00,frontend_app,29.5,1380
2026-03-01 18:00:00,payment_service,47.0,1100
2026-03-01 18:00:00,auth_service,37.0,860
2026-03-01 18:00:00,db_cluster,43.0,510
2026-03-01 18:00:00,frontend_app,28.5,1320
2026-03-02 00:00:00,payment_service,41.0,920
2026-03-02 00:00:00,auth_service,34.0,740
2026-03-02 00:00:00,db_cluster,39.0,490
2026-03-02 00:00:00,frontend_app,24.0,1150
2026-03-02 04:00:00,payment_service,39.0,890
2026-03-02 04:00:00,auth_service,33.0,720
2026-03-02 04:00:00,db_cluster,38.0,470
2026-03-02 04:00:00,frontend_app,23.0,1110
2026-03-02 09:00:00,payment_service,44.0,1000
2026-03-02 09:00:00,auth_service,86.5,4800
2026-03-02 09:00:00,db_cluster,41.0,510
2026-03-02 09:00:00,frontend_app,27.0,1300
2026-03-02 13:00:00,payment_service,43.0,980
2026-03-02 13:00:00,auth_service,82.0,4600
2026-03-02 13:00:00,db_cluster,40.5,500
2026-03-02 13:00:00,frontend_app,26.5,1280
2026-03-02 18:00:00,payment_service,42.0,960
2026-03-02 18:00:00,auth_service,41.0,950
2026-03-02 18:00:00,db_cluster,45.0,520
2026-03-02 18:00:00,frontend_app,25.0,1220
2026-03-03 00:00:00,payment_service,40.0,910
2026-03-03 00:00:00,auth_service,35.0,760
2026-03-03 00:00:00,db_cluster,39.5,495
2026-03-03 00:00:00,frontend_app,24.5,1180
